Date,State,State Abbr,emergency,stay_at_home,schools,day_cares,visitors_nursing_homes,non_essential_business,restaurants,bars,elective_surgery,mask_req_in_public,mask_req_employees
06-Apr-20,Arizona,AZ,0,0,0,1,1,0,0,0,0,0,0
07-Apr-20,Arizona,AZ,0,0,0,1,1,0,0,0,0,0,0
08-Apr-20,Arizona,AZ,0,0,0,1,1,0,0,0,0,0,0
09-Apr-20,Arizona,AZ,0,0,0,1,1,0,0,0,0,0,0
10-Apr-20,Arizona,AZ,0,0,0,1,1,0,0,0,0,0,0
11-Apr-20,Arizona,AZ,0,0,0,1,1,0,0,0,0,0,0
12-Apr-20,Arizona,AZ,0,0,0,1,1,0,0,0,0,0,0
13-Apr-20,Arizona,AZ,0,0,0,1,1,0,0,0,0,0,0
14-Apr-20,Arizona,AZ,0,0,0,1,1,0,0,0,0,0,0
15-Apr-20,Arizona,AZ,0,0,0,1,1,0,0,0,0,0,0
16-Apr-20,Arizona,AZ,0,0,0,1,1,0,0,0,0,0,0
17-Apr-20,Arizona,AZ,0,0,0,1,1,0,0,0,0,0,0
18-Apr-20,Arizona,AZ,0,0,0,1,1,0,0,0,0,0,0
19-Apr-20,Arizona,AZ,0,0,0,1,1,0,0,0,0,0,0
20-Apr-20,Arizona,AZ,0,0,0,1,1,0,0,0,0,0,0
21-Apr-20,Arizona,AZ,0,0,0,1,1,0,0,0,0,0,0
22-Apr-20,Arizona,AZ,0,0,0,1,1,0,0,0,0,0,0
23-Apr-20,Arizona,AZ,0,0,0,1,1,0,0,0,0,0,0
24-Apr-20,Arizona,AZ,0,0,0,1,1,0,0,0,0,0,0
25-Apr-20,Arizona,AZ,0,0,0,1,1,0,0,0,0,0,0
26-Apr-20,Arizona,AZ,0,0,0,1,1,0,0,0,0,0,0
27-Apr-20,Arizona,AZ,0,0,0,1,1,0,0,0,0,0,0
28-Apr-20,Arizona,AZ,0,0,0,1,1,0,0,0,0,0,0
29-Apr-20,Arizona,AZ,0,0,0,1,1,0,0,0,0,0,0
30-Apr-20,Arizona,AZ,0,0,0,1,1,0,0,0,0,0,0
